,Election_Year,Debate_Date,Candidate_Name,Affiliation,Positive_Words,Negative_Words,Total_Sentiment
0,2012,10/3/2012,Obama,D,3824,1438,5262
1,2012,10/3/2012,Romney,R,4307,1641,5948
2,2012,10/16/2012,Obama,D,3240,1748,4988
3,2012,10/16/2012,Romney,R,4628,2448,7076
4,2012,10/22/2012,Obama,D,4569,2393,6962
5,2012,10/22/2012,Romney,R,4368,2255,6623
6,2016,9/26/2016,Clinton,D,3704,3388,7092
7,2016,9/26/2016,Trump,R,4637,4225,8862
8,2016,10/9/2016,Clinton,D,2646,2416,5062
9,2016,10/9/2016,Trump,R,3571,3353,6924
10,2016,10/19/2016,Clinton,D,5446,4316,9762
11,2016,10/19/2016,Trump,R,5720,4439,10159
