,Election_Year,Debate_Date,Candidate_Name,Affiliation,Positive_Words,Negative_Words,Total_Sentiment
0,2000,10/3/2000,George Bush,R,3517,1574,5091
1,2000,10/3/2000,Albert Gore,D,3235,1443,4678
2,2000,10/11/2000,George Bush,R,3168,1945,5113
3,2000,10/11/2000,Albert Gore,D,2710,1785,4495
4,2000,10/17/2000,George Bush,R,3488,1316,4804
5,2000,10/17/2000,Albert Gore,D,3200,1231,4431
6,2004,9/30/2004,George Bush,R,3182,1450,4632
7,2004,9/30/2004,John Kerry,D,2967,1322,4289
8,2004,10/8/2004,George Bush,R,2927,2017,4944
9,2004,10/8/2004,John Kerry,D,2864,1942,4806
10,2004,10/13/2004,George Bush,R,3139,1160,4299
11,2004,10/13/2004,John Kerry,D,3175,1166,4341
12,2008,9/26/2008,Barack Obama ,D,2384,2031,4415
13,2008,9/26/2008,John McCain,R,2117,1831,3948
14,2008,10/7/2008,Barack Obama ,D,2158,1264,3422
15,2008,10/7/2008,John McCain,R,1993,1114,3107
16,2008,10/15/2008,Barack Obama ,D,2558,1231,3789
17,2008,10/15/2008,John McCain,R,2648,1263,3911
18,2012,10/3/2012,Barack Obama ,D,3824,1438,5262
19,2012,10/3/2012,Mitt Romney,R,4307,1641,5948
20,2012,10/16/2012,Barack Obama ,D,3240,1748,4988
21,2012,10/16/2012,Mitt Romney,R,4628,2448,7076
22,2012,10/22/2012,Barack Obama ,D,4569,2393,6962
23,2012,10/22/2012,Mitt Romney,R,4368,2255,6623
24,2016,9/26/2016,Hillary Clinton,D,3704,3388,7092
25,2016,9/26/2016,Donald Trump,R,4637,4225,8862
26,2016,10/9/2016,Hillary Clinton,D,2646,2416,5062
27,2016,10/9/2016,Donald Trump,R,3571,3353,6924
28,2016,10/19/2016,Hillary Clinton,D,5446,4316,9762
29,2016,10/19/2016,Donald Trump,R,5720,4439,10159
