Election_Year,Debate_Date,Candidate_Name,Affiliation,Positive_Words,Negative_Words,Total_Sentiment
2000,10/3/2000,George W. Bush,R,3517,1574,5091
2000,10/3/2000,Albert A. Gore,D,3235,1443,4678
2000,10/11/2000,George W. Bush,R,3168,1945,5113
2000,10/11/2000,Albert A. Gore,D,2710,1785,4495
2000,10/17/2000,George W. Bush,R,3488,1316,4804
2000,10/17/2000,Albert A. Gore,D,3200,1231,4431
2004,9/30/2004,George W. Bush,R,3182,1450,4632
2004,9/30/2004,John F. Kerry,D,2967,1322,4289
2004,10/8/2004,George W. Bush,R,2927,2017,4944
2004,10/8/2004,John F. Kerry,D,2864,1942,4806
2004,10/13/2004,George W. Bush,R,3139,1160,4299
2004,10/13/2004,John F. Kerry,D,3175,1166,4341
2008,9/26/2008,Barack H. Obama ,D,2384,2031,4415
2008,9/26/2008,John S. McCain,R,2117,1831,3948
2008,10/7/2008,Barack H. Obama ,D,2158,1264,3422
2008,10/7/2008,John S. McCain,R,1993,1114,3107
2008,10/15/2008,Barack H. Obama ,D,2558,1231,3789
2008,10/15/2008,John S. McCain,R,2648,1263,3911
