Poll,Date,Sample,MoE,Barack Obama,Mitt Romney
Final Results,--,--,--,51.1,47.2
RCP Average,10/31 - 11/5,--,--,48.8,48.1
Politico/GWU/Battleground,11/4 - 11/5,1000 LV,3.1,47,47
Rasmussen Reports,11/3 - 11/5,1500 LV,3,48,49
IBD/TIPP,11/3 - 11/5,712 LV,3.7,50,49
CNN/Opinion Research,11/2 - 11/4,693 LV,3.5,49,49
Gallup,11/1 - 11/4,2700 LV,2,49,50
ABC News/Wash Post,11/1 - 11/4,2345 LV,2.5,50,47
Monmouth/SurveyUSA/Braun,11/1 - 11/4,1417 LV,2.6,48,48
NBC News/Wall St. Jrnl,11/1 - 11/3,1475 LV,2.6,48,47
Pew Research,10/31 - 11/3,2709 LV,2.2,50,47
Politico/GWU/Battleground,10/29 - 11/1,1000 LV,3.1,48,48
FOX News,10/28 - 10/30,1128 LV,3,46,46
CBS News/NY Times,10/25 - 10/28,563 LV,4,48,47
Pew Research,10/24 - 10/28,1495 LV,2.9,47,47
National Journal,10/25 - 10/28,713 LV,4.4,50,45
NPR,10/23 - 10/25,1000 LV,3.1,47,48
IBD/TIPP,10/22 - 10/27,930 LV,3.5,45,44
Politico/GWU/Battleground,10/22 - 10/25,1000 LV,3.1,49,48
Associated Press/GfK,10/19 - 10/23,839 LV,4.2,45,47
Monmouth/SurveyUSA/Braun,10/18 - 10/21,1402 LV,2.6,45,48
NBC News/Wall St. Jrnl,10/17 - 10/20,816 LV,3.4,47,47
CBS News,10/17 - 10/20,790 LV,4,48,46
WashTimes/JZ Analytics*,10/18 - 10/20,800 LV,3.5,50,47
Politico/GWU/Battleground,10/15 - 10/18,1000 LV,3.1,47,49
Hartford Courant/UConn,10/11 - 10/16,1023 LV,3,48,45
ABC News/Wash Post,10/10 - 10/13,923 LV,3.5,49,46
Politico/GWU/Battleground,10/7 - 10/11,1000 LV,3.1,49,48
Monmouth/SurveyUSA/Braun,10/8 - 10/10,1360 LV,2.7,46,47
FOX News,10/7 - 10/9,1109 LV,3,45,46
Gallup Tracking,10/4 - 10/10,2700 LV,2,47,48
Gallup Tracking,10/4 - 10/10,3050 RV,2,48,46
Pew Research,10/4 - 10/7,1112 LV,3.4,45,49
Rasmussen Tracking,10/4 - 10/6,1500 LV,3,47,49
WashTimes/JZ Analytics*,10/5 - 10/7,800 LV,3.5,45,45
Politico/GWU/Battleground,10/1 - 10/4,1000 LV,3.1,49,48
Rasmussen Tracking,10/1 - 10/3,1500 LV,3,49,47
Gallup Tracking,9/27 - 10/3,3050 RV,2,49,45
CNN/Opinion Research,9/28 - 9/30,783 LV,3.5,50,47
National Journal,9/27 - 9/30,789 LV,4.2,47,47
NBC News/Wall St. Jrnl,9/26 - 9/30,832 LV,3.4,49,46
NPR,9/26 - 9/30,800 LV,4,51,44
ABC News/Wash Post,9/26 - 9/29,813 LV,4,49,47
Quinnipiac,9/25 - 9/30,1912 LV,2.2,49,45
WashTimes/JZ Analytics*,9/27 - 9/29,800 LV,3.5,50,41
Politico/GWU/Battleground,9/24 - 9/27,1000 LV,3.1,49,47
FOX News,9/24 - 9/26,1092 LV,3,48,43
Bloomberg,9/21 - 9/24,789 LV,3.5,49,43
Politico/GWU/Battleground,9/16 - 9/20,1000 LV,3.1,50,47
National Journal,9/15 - 9/19,1055 LV,3,50,43
Associated Press/GfK,9/13 - 9/17,807 LV,4.3,47,46
Hartford Courant/UConn,9/11 - 9/18,1186 LV,3,46,43
Rasmussen Tracking,9/14 - 9/16,1500 LV,3,45,47
Reason-Rupe/PSRAI,9/13 - 9/17,787 LV,4.3,52,45
Monmouth/SurveyUSA/Braun,9/13 - 9/16,1344 LV,2.7,48,45
Gallup Tracking,9/11 - 9/17,3050 RV,2,47,46
NBC News/Wall St. Jrnl,9/12 - 9/16,736 LV,3.6,50,45
Pew Research/PSRAI,9/12 - 9/16,2268 LV,2.4,51,43
FOX News,9/9 - 9/11,1056 LV,3,48,43
CBS News/NY Times,9/8 - 9/12,1162 LV,3,49,46
Democracy Corps (D),9/8 - 9/12,1000 LV,3.1,50,45
Esquire/Yahoo! News,9/7 - 9/10,724 LV,5,50,46
Reuters/Ipsos,9/7 - 9/10,873 LV,3.4,48,45
Gallup Tracking,9/5 - 9/11,3050 RV,2,50,43
Rasmussen Tracking,9/7 - 9/9,1500 LV,3,50,45
ABC News/Wash Post,9/7 - 9/9,710 LV,4.5,49,48
CNN/Opinion Research,9/7 - 9/9,709 LV,3.5,52,46
IBD/CSM/TIPP,9/4 - 9/9,808 RV,3.5,46,44
CNN/Opinion Research,8/31 - 9/3,735 LV,3.5,48,48
