Poll,Date,Sample,John Kerry,George W. Bush
Final Results,--,--,48.3,50.7
RCP Average,10/27 - 11/1,--,47.4,48.9
Marist,11/1 - 11/1,--,50,49
GW/Battleground,10/31 - 11/1,--,46,50
IBD/TIPP,10/30 - 11/1,--,48,50.1
CBS News,10/29 - 11/1,--,47,49
Harris,10/29 - 11/1,--,48,49
FOX News,10/30 - 10/31,--,48,46
Reuters/Zogby,10/29 - 10/31,--,47,48
CNN/USA Today/Gallup,10/29 - 10/31,--,49,49
NBC/WSJ,10/29 - 10/31,--,47,48
ABC/Wash Post,10/28 - 10/31,--,48,49
ARG,10/28 - 10/30,--,48,48
CBS News/NY Times,10/28 - 10/30,--,46,49
Pew Research,10/27 - 10/30,--,48,51
Newsweek,10/27 - 10/29,--,44,50
GW/Battleground,10/25 - 10/28,--,46,51
ICR,10/22 - 10/26,--,45,48
CNN/USA Today/Gallup,10/22 - 10/24,--,46,51
LA Times,10/21 - 10/24,--,48,48
Newsweek,10/21 - 10/22,--,46,48
Time,10/19 - 10/21,--,46,51
GW/Battleground,10/18 - 10/21,--,45,49
AP-Ipsos,10/18 - 10/20,--,49,46
Marist,10/17 - 10/19,--,48,49
FOX News,10/17 - 10/18,--,42,49
Pew Research,10/15 - 10/19,--,47,47
ABC/Wash Post,10/16 - 10/18,--,46,51
NBC/WSJ,10/16 - 10/18,--,48,48
Harris,10/14 - 10/17,--,44.5,49.5
CBS News/NY Times,10/14 - 10/17,--,45,47
CNN/USA Today/Gallup,10/14 - 10/16,--,44,52
Time,10/14 - 10/15,--,47,48
Newsweek,10/14 - 10/15,--,44,50
GW/Battleground,10/11 - 10/14,--,46,49
ABC/Wash Post,10/11 - 10/13,--,48,48
Zogby,10/9 - 10/11,--,45,45
CBS News,10/9 - 10/11,--,45,48
ICR,10/9 - 10/11,--,43,48
CNN/USA Today/Gallup,10/9 - 10/10,--,49,48
Time,10/6 - 10/7,--,45,46
GW/Battleground,10/3 - 10/7,--,46,49
AP-Ipsos,10/4 - 10/6,--,50,46
Marist,10/4 - 10/5,--,46,49
FOX News,10/3 - 10/4,--,45,47
ICR,10/1 - 10/5,--,45,51
ARG,10/2 - 10/4,--,46,46
ABC News/Wash Post,10/1 - 10/3,--,46,51
CBS News/NY Times,10/1 - 10/3,--,47,47
Zogby,10/1 - 10/3,--,43,46
Pew Research,10/1 - 10/3,--,44,49
CNN/USA Today/Gallup,10/1 - 10/3,--,49,49
Newsweek,9/30 - 10/2,--,47,45
Sacred Heart Univ,9/27 - 10/2,--,43,48
Battleground,9/27 - 9/30,--,44,51
LA Times,9/25 - 9/28,--,45,51
CNN/USA Today/Gallup,9/24 - 9/26,--,44,52
IBD/TIPP,9/22 - 9/27,--,45,45
ABC News/Wash Post,9/23 - 9/26,--,45,51
Pew Research,9/22 - 9/26,--,40,48
Time,9/21 - 9/23,--,42,48
FOX News,9/21 - 9/22,--,42,46
Battleground,9/20 - 9/23,--,45,50
Marist,9/20 - 9/22,--,44,50
CBS News,9/20 - 9/22,--,42,51
AP-Ipsos,9/20 - 9/22,--,45,52
Pew Research,9/17 - 9/21,--,42,45
NBC/WSJ,9/17 - 9/19,--,46,50
Zogby,9/17 - 9/19,--,43,46
IBD/TIPP,9/14 - 9/18,--,42,45
ARG,9/7 - 9/21,--,46,47
CBS News,9/12 - 9/16,--,41,50
CNN/USA Today/Gallup,9/13 - 9/15,--,40,54
Battleground,9/12 - 9/15,--,45,49
Pew Research,9/11 - 9/14,--,46,47
Harris,9/9 - 9/13,--,48,47
Newsweek,9/9 - 9/10,--,43,49
IBD/TIPP,9/7 - 9/12,--,46,46
Zogby,9/8 - 9/9,--,42,46
Time,9/7 - 9/9,--,41,52
AP-Ipsos,9/7 - 9/9,--,46,51
FOX News,9/7 - 9/8,--,43,47
ABC News/Wash Post,9/6 - 9/8,--,43,52
Pew Research,9/8 - 9/10,--,38,54
CBS News,9/6 - 9/8,--,42,49
CNN/USA Today/Gallup,9/3 - 9/5,--,45,52
Newsweek,9/2 - 9/3,--,41,52
Time,8/31 - 9/2,--,41,52
Zogby,8/30 - 9/2,--,43,46
ARG,8/30 - 9/1,--,47,47
